Chromosome,Start,End,MaxSignal,HistoneMark
chr12,40591829,40591843,5.64846,H3K9ac
chr12,40610140,40610161,5.64846,H3K9ac
chr12,40615573,40615583,5.64846,H3K9ac
chr12,40624142,40624151,5.64846,H3K9ac
chr12,40630747,40630760,5.64846,H3K9ac
chr12,40630762,40630774,5.64846,H3K9ac
chr12,40584396,40584402,5.03208,H3K27me3
chr12,40584404,40584406,5.03208,H3K27me3
chr12,40591874,40591885,5.03208,H3K27me3
chr12,40593872,40593876,5.03208,H3K27me3
chr12,40602009,40602015,5.03208,H3K27me3
chr12,40613016,40613044,6.03849,H3K27me3
chr12,40619464,40619472,5.03208,H3K27me3
chr12,40632032,40632040,5.03208,H3K27me3
chr12,40635841,40635843,5.03208,H3K27me3
chr12,40639556,40639571,5.03208,H3K27me3
chr12,40647525,40647529,5.03208,H3K27me3
chr12,40573302,40573304,5.88037,H3K9me3
chr12,40580797,40580815,5.88037,H3K9me3
chr12,40585644,40585646,5.88037,H3K9me3
chr12,40590279,40590287,5.88037,H3K9me3
chr12,40594961,40594981,5.49941,H3K9me3
chr12,40608619,40608631,5.88037,H3K9me3
chr12,40608638,40608648,5.88037,H3K9me3
chr12,40611856,40611867,5.88037,H3K9me3
chr12,40641394,40641414,5.88037,H3K9me3
chr12,40574063,40574080,5.98658,H3K4me1
chr12,40645261,40645265,5.59875,H3K4me1
chr12,40611284,40611312,5.27542,H3K36me3
